Time,A,B,C,T1,A1,B1,C1,D1
10,0.0002419618667,0.0002114887333,0.0003461568367,0.08333333333,0.002419618667,0.002114887333,0.003461568367,0.8333333333
20,0.0002419618667,0.0002114887333,0.0003461568367,0.1666666667,0.002419618667,0.002114887333,0.003461568367,1.666666667
30,0.1388308979,0.0376216318,0.2385335853,0.25,1.388308979,0.376216318,2.385335853,2.5
40,0.1388308979,0.0376216318,0.2385335853,0.3333333333,1.388308979,0.376216318,2.385335853,3.333333333
50,0.1388308979,0.0376216318,0.2385335853,0.4166666667,1.388308979,0.376216318,2.385335853,4.166666667
60,0.3966633647,0.08792683493,0.3194831053,0.5,3.966633647,0.8792683493,3.194831053,5
70,0.3966633647,0.08792683493,0.3194831053,0.5833333333,3.966633647,0.8792683493,3.194831053,5.833333333
80,0.3966633647,0.08792683493,0.3194831053,0.6666666667,3.966633647,0.8792683493,3.194831053,6.666666667
90,0.2819595853,0.1119317538,0.2578304792,0.75,2.819595853,1.119317538,2.578304792,7.5
100,0.2819595853,0.1119317538,0.2578304792,0.8333333333,2.819595853,1.119317538,2.578304792,8.333333333
110,0.2819595853,0.1119317538,0.2578304792,0.9166666667,2.819595853,1.119317538,2.578304792,9.166666667
120,0.3697404862,0.04992837847,0.4309658572,1,3.697404862,0.4992837847,4.309658572,10
130,0.3697404862,0.04992837847,0.4309658572,1.083333333,3.697404862,0.4992837847,4.309658572,10.83333333
140,0.3697404862,0.04992837847,0.4309658572,1.166666667,3.697404862,0.4992837847,4.309658572,11.66666667
150,0.699165083,0.1177743571,0.6690759504,1.25,6.99165083,1.177743571,6.690759504,12.5
160,0.699165083,0.1177743571,0.6690759504,1.333333333,6.99165083,1.177743571,6.690759504,13.33333333
170,0.699165083,0.1177743571,0.6690759504,1.416666667,6.99165083,1.177743571,6.690759504,14.16666667
180,0.8199433139,0.1076768139,0.6395610887,1.5,8.199433139,1.076768139,6.395610887,15
190,0.8199433139,0.1076768139,0.6395610887,1.583333333,8.199433139,1.076768139,6.395610887,15.83333333
200,0.8199433139,0.1076768139,0.6395610887,1.666666667,8.199433139,1.076768139,6.395610887,16.66666667
210,1.201774313,0.2086970309,1.017563953,1.75,12.01774313,2.086970309,10.17563953,17.5
220,1.201774313,0.2086970309,1.017563953,1.833333333,12.01774313,2.086970309,10.17563953,18.33333333
230,1.201774313,0.2086970309,1.017563953,1.916666667,12.01774313,2.086970309,10.17563953,19.16666667
240,1.398639442,0.1472926193,1.027884348,2,13.98639442,1.472926193,10.27884348,20
250,1.398639442,0.1472926193,1.027884348,2.083333333,13.98639442,1.472926193,10.27884348,20.83333333
260,1.398639442,0.1472926193,1.027884348,2.166666667,13.98639442,1.472926193,10.27884348,21.66666667
270,1.263597891,0.1878081363,0.9501250183,2.25,12.63597891,1.878081363,9.501250183,22.5
280,1.263597891,0.1878081363,0.9501250183,2.333333333,12.63597891,1.878081363,9.501250183,23.33333333
290,1.263597891,0.1878081363,0.9501250183,2.416666667,12.63597891,1.878081363,9.501250183,24.16666667
300,1.314200166,0.1769977987,1.691053734,2.5,13.14200166,1.769977987,16.91053734,25
310,1.314200166,0.1769977987,1.691053734,2.583333333,13.14200166,1.769977987,16.91053734,25.83333333
320,1.314200166,0.1769977987,1.691053734,2.666666667,13.14200166,1.769977987,16.91053734,26.66666667
330,3.408845473,0.2815956275,2.578167967,2.75,34.08845473,2.815956275,25.78167967,27.5
340,3.408845473,0.2815956275,2.578167967,2.833333333,34.08845473,2.815956275,25.78167967,28.33333333
350,3.408845473,0.2815956275,2.578167967,2.916666667,34.08845473,2.815956275,25.78167967,29.16666667
360,2.747002761,0.1294130637,1.951040889,3,27.47002761,1.294130637,19.51040889,30
370,2.747002761,0.1294130637,1.951040889,3.083333333,27.47002761,1.294130637,19.51040889,30.83333333
380,2.747002761,0.1294130637,1.951040889,3.166666667,27.47002761,1.294130637,19.51040889,31.66666667
390,2.412842979,0.342404338,1.834462281,3.25,24.12842979,3.42404338,18.34462281,32.5
400,2.412842979,0.342404338,1.834462281,3.333333333,24.12842979,3.42404338,18.34462281,33.33333333
410,2.412842979,0.342404338,1.834462281,3.416666667,24.12842979,3.42404338,18.34462281,34.16666667
420,2.871379515,0.2338195889,2.080168923,3.5,28.71379515,2.338195889,20.80168923,35
430,2.871379515,0.2338195889,2.080168923,3.583333333,28.71379515,2.338195889,20.80168923,35.83333333
440,2.871379515,0.2338195889,2.080168923,3.666666667,28.71379515,2.338195889,20.80168923,36.66666667
450,2.878373126,0.1261908731,2.038380084,3.75,28.78373126,1.261908731,20.38380084,37.5
460,2.878373126,0.1261908731,2.038380084,3.833333333,28.78373126,1.261908731,20.38380084,38.33333333
470,2.878373126,0.1261908731,2.038380084,3.916666667,28.78373126,1.261908731,20.38380084,39.16666667
480,0,0.2893397815,0.4080051841,4,0,2.893397815,4.080051841,40
490,0,0.2893397815,0.4080051841,4.083333333,0,2.893397815,4.080051841,40.83333333
500,0,0.2893397815,0.4080051841,4.166666667,0,2.893397815,4.080051841,41.66666667
510,0.9586045498,0.1920417853,1.078224037,4.25,9.586045498,1.920417853,10.78224037,42.5
520,0.9586045498,0.1920417853,1.078224037,4.333333333,9.586045498,1.920417853,10.78224037,43.33333333
530,0.9586045498,0.1920417853,1.078224037,4.416666667,9.586045498,1.920417853,10.78224037,44.16666667
540,1.14622376,0.1856011692,0.8362587425,4.5,11.4622376,1.856011692,8.362587425,45
550,1.14622376,0.1856011692,0.8362587425,4.583333333,11.4622376,1.856011692,8.362587425,45.83333333
560,1.14622376,0.1856011692,0.8362587425,4.666666667,11.4622376,1.856011692,8.362587425,46.66666667
570,4.047553975,0.4017593319,2.720581589,4.75,40.47553975,4.017593319,27.20581589,47.5
580,4.047553975,0.4017593319,2.720581589,4.833333333,40.47553975,4.017593319,27.20581589,48.33333333
590,4.047553975,0.4017593319,2.720581589,4.916666667,40.47553975,4.017593319,27.20581589,49.16666667
600,5.353062204,0.268631498,3.149780214,5,53.53062204,2.68631498,31.49780214,50
610,5.353062204,0.268631498,3.149780214,5.083333333,53.53062204,2.68631498,31.49780214,50.83333333
620,5.353062204,0.268631498,3.149780214,5.166666667,53.53062204,2.68631498,31.49780214,51.66666667
630,3.427127789,0.3631910822,2.84126254,5.25,34.27127789,3.631910822,28.4126254,52.5
640,3.427127789,0.3631910822,2.84126254,5.333333333,34.27127789,3.631910822,28.4126254,53.33333333
650,3.427127789,0.3631910822,2.84126254,5.416666667,34.27127789,3.631910822,28.4126254,54.16666667
660,4.626507308,0.3075050293,2.595383235,5.5,46.26507308,3.075050293,25.95383235,55
670,4.626507308,0.3075050293,2.595383235,5.583333333,46.26507308,3.075050293,25.95383235,55.83333333
680,4.626507308,0.3075050293,2.595383235,5.666666667,46.26507308,3.075050293,25.95383235,56.66666667
690,3.500626962,0.2765874191,2.766004357,5.75,35.00626962,2.765874191,27.66004357,57.5
700,3.500626962,0.2765874191,2.766004357,5.833333333,35.00626962,2.765874191,27.66004357,58.33333333
710,3.500626962,0.2765874191,2.766004357,5.916666667,35.00626962,2.765874191,27.66004357,59.16666667
720,4.208410697,0.2779267363,2.809596109,6,42.08410697,2.779267363,28.09596109,60
730,4.208410697,0.2779267363,2.809596109,6.083333333,42.08410697,2.779267363,28.09596109,60.83333333
740,4.208410697,0.2779267363,2.809596109,6.166666667,42.08410697,2.779267363,28.09596109,61.66666667
750,4.971705422,0.2736636028,3.608380522,6.25,49.71705422,2.736636028,36.08380522,62.5
760,4.971705422,0.2736636028,3.608380522,6.333333333,49.71705422,2.736636028,36.08380522,63.33333333
770,4.971705422,0.2736636028,3.608380522,6.416666667,49.71705422,2.736636028,36.08380522,64.16666667
780,7.551303603,0.2581371687,4.488073824,6.5,75.51303603,2.581371687,44.88073824,65
790,7.551303603,0.2581371687,4.488073824,6.583333333,75.51303603,2.581371687,44.88073824,65.83333333
800,7.551303603,0.2581371687,4.488073824,6.666666667,75.51303603,2.581371687,44.88073824,66.66666667
810,4.20360321,0.3260237385,2.441285224,6.75,42.0360321,3.260237385,24.41285224,67.5
820,4.20360321,0.3260237385,2.441285224,6.833333333,42.0360321,3.260237385,24.41285224,68.33333333
830,4.20360321,0.3260237385,2.441285224,6.916666667,42.0360321,3.260237385,24.41285224,69.16666667
840,3.478046614,0.2468696119,3.189918411,7,34.78046614,2.468696119,31.89918411,70
850,3.478046614,0.2468696119,3.189918411,7.083333333,34.78046614,2.468696119,31.89918411,70.83333333
860,3.478046614,0.2468696119,3.189918411,7.166666667,34.78046614,2.468696119,31.89918411,71.66666667
870,2.787213927,0.3038534053,2.361143567,7.25,27.87213927,3.038534053,23.61143567,72.5
880,2.787213927,0.3038534053,2.361143567,7.333333333,27.87213927,3.038534053,23.61143567,73.33333333
890,2.787213927,0.3038534053,2.361143567,7.416666667,27.87213927,3.038534053,23.61143567,74.16666667
900,1.165911076,0.2699963947,1.475307341,7.5,11.65911076,2.699963947,14.75307341,75
910,1.165911076,0.2699963947,1.475307341,7.583333333,11.65911076,2.699963947,14.75307341,75.83333333
920,1.165911076,0.2699963947,1.475307341,7.666666667,11.65911076,2.699963947,14.75307341,76.66666667
930,3.834131416,0.7460052144,2.245630335,7.75,38.34131416,7.460052144,22.45630335,77.5
940,3.834131416,0.7460052144,2.245630335,7.833333333,38.34131416,7.460052144,22.45630335,78.33333333
950,3.834131416,0.7460052144,2.245630335,7.916666667,38.34131416,7.460052144,22.45630335,79.16666667
960,10.01212158,0.3414316637,5.324386861,8,100.1212158,3.414316637,53.24386861,80
970,10.01212158,0.3414316637,5.324386861,8.083333333,100.1212158,3.414316637,53.24386861,80.83333333
980,10.01212158,0.3414316637,5.324386861,8.166666667,100.1212158,3.414316637,53.24386861,81.66666667
990,5.732918093,0.6312339923,3.900412698,8.25,57.32918093,6.312339923,39.00412698,82.5
1000,5.732918093,0.6312339923,3.900412698,8.333333333,57.32918093,6.312339923,39.00412698,83.33333333
1010,5.732918093,0.6312339923,3.900412698,8.416666667,57.32918093,6.312339923,39.00412698,84.16666667
