T,A,B,C
10,2,2,1
20,2,2,1
30,2,2,1
40,2,2,1
50,2,2,1
60,2,2,1
70,2,2,1
80,2,2,1
90,2,2,1
100,2,2,1
110,2,2,1
120,2,2,1
130,2,2,1
140,2,2,1
150,2,2,1
160,2,2,1
170,2,2,1
180,2,2,1
190,2,2,1
200,2,2,1
210,2,2,1
220,2,2,1
230,2,2,1
240,2,2,1
250,2,2,1
260,2,2,1
270,2,2,1
280,2,2,1
290,2,2,1
300,2,2,1
310,2,2,1
320,2,2,1
330,2,2,1
340,2,2,1
350,2,2,1
360,2,2,1
370,2,2,1
380,2,2,1
390,3,2,1
400,3,2,1
410,3,2,1
420,3,2,1
430,3,2,1
440,3,2,1
450,3,2,1
460,3,2,1
470,3,2,1
480,3,2,1
490,3,2,1
500,3,2,1
510,3,2,1
520,3,2,1
530,3,2,1
540,3,2,1
550,3,2,1
560,3,2,1
570,3,2,1
580,3,2,1
590,3,2,1
600,3,2,1
610,3,2,1
620,3,2,1
630,4,2,1
640,4,2,1
650,4,2,1
660,4,2,1
670,4,2,1
680,4,2,1
690,4,2,1
700,4,2,1
710,4,2,1
720,4,2,1
730,4,2,1
740,4,2,1
750,4,2,1
760,4,2,1
770,4,2,1
780,4,2,1
790,4,2,2
800,4,2,3
810,4,2,3
820,4,2,3
830,4,2,3
840,4,2,3
850,4,2,3
860,8,2,3
870,8,2,3
880,8,2,3
890,8,2,3
900,8,2,3
910,8,2,3
920,8,2,3
930,8,2,3
940,8,2,3
950,8,2,3
960,8,2,3
970,8,2,3
980,8,2,3
990,8,2,3
1000,8,2,3
1010,8,2,3
1020,8,2,3
1030,8,2,5
1040,8,2,5
1050,8,2,5
1060,8,2,5
1070,8,2,5
1080,8,2,5
1090,8,2,5
1100,8,2,5
1110,8,2,5
1120,8,2,7
1130,8,2,7
1140,8,2,7
1150,8,2,7
1160,8,2,7
1170,8,2,7
1180,8,2,7
1190,10,2,7
1200,10,2,7
1210,10,2,7
1220,10,2,7
1230,10,2,7
1240,10,2,7
1250,10,2,7
1260,10,2,7
1270,10,2,7
1280,10,2,7
1290,10,2,7
1300,10,2,7
1310,10,2,7
1320,10,2,7
1330,10,2,7
1340,10,2,7
1350,10,2,7
1360,10,2,7
1370,10,2,7
1380,10,2,7
1390,10,2,7
1400,10,2,7
1410,10,2,7
1420,10,2,7
1430,14,2,7
1440,15,2,7
1450,15,2,7
1460,15,2,7
1470,15,2,7
1480,15,2,7
1490,15,2,7
1500,15,2,7
1510,15,2,9
1520,15,2,9
1530,15,2,9
1540,15,2,9
1550,15,2,9
1560,15,2,9
1570,15,2,9
1580,15,2,9
1590,15,2,9
1600,15,2,9
1610,15,2,9
1620,15,2,9
1630,15,2,11
1640,15,2,11
1650,15,2,11
1660,15,2,11
1670,15,2,11
1680,15,2,11
1690,15,2,11
1700,15,2,11
1710,15,2,11
1720,15,2,11
1730,15,2,11
1740,15,2,11
1750,15,2,11
1760,17,2,11
1770,17,2,11
1780,17,2,11
1790,17,2,11
1800,17,2,11
1810,17,2,11
1820,17,2,11
1830,17,2,11
1840,17,2,11
1850,17,2,11
1860,17,2,11
1870,17,2,13
1880,17,2,13
1890,17,2,13
1900,17,2,13
1910,17,2,13
1920,17,4,13
1930,17,4,13
1940,17,4,13
1950,17,4,13
1960,17,4,13
1970,17,4,13
1980,17,4,13
1990,17,4,12
2000,17,4,12
2010,17,4,12
2020,17,4,12
2030,17,4,12
2040,17,4,12
2050,17,4,12
2060,17,4,12
2070,17,4,12
2080,17,4,12
2090,17,4,12
2100,17,4,12
2110,17,4,12
2120,17,4,14
2130,17,4,14
2140,17,4,14
2150,17,4,14
2160,17,4,14
2170,17,4,14
2180,17,4,14
2190,22,4,14
2200,22,4,14
2210,22,4,14
2220,22,4,14
2230,22,4,14
2240,22,4,14
2250,22,4,14
2260,22,4,14
2270,22,4,14
2280,22,4,14
2290,22,4,14
2300,22,4,14
2310,22,4,14
2320,22,4,14
2330,22,4,14
2340,22,4,14
2350,22,4,14
2360,22,4,16
2370,22,4,16
2380,22,4,16
2390,22,4,16
2400,22,4,16
2410,22,4,16
2420,22,4,16
2430,25,4,16
2440,25,4,16
2450,25,4,16
2460,25,4,18
2470,25,4,18
2480,25,4,18
2490,25,4,18
2500,25,4,18
2510,25,4,18
2520,25,4,18
2530,25,4,18
2540,25,4,20
2550,25,4,20
2560,25,4,20
2570,25,4,20
2580,25,4,20
2590,25,4,20
2600,25,4,20
2610,25,4,20
2620,25,4,20
2630,25,4,20
2640,25,4,20
2650,25,4,20
2660,25,4,20
2670,25,4,20
2680,25,4,20
2690,25,4,20
2700,25,4,19
2710,25,4,19
2720,25,4,19
2730,25,4,19
2740,25,4,19
2750,25,4,19
2760,25,4,19
2770,25,4,19
2780,25,4,19
2790,25,4,19
2800,25,4,19
2810,25,4,19
2820,25,4,19
2830,25,4,19
2840,25,4,19
2850,25,4,19
2860,25,4,19
2870,25,4,19
2880,25,4,19
2890,25,4,19
2900,25,4,21
2910,25,4,21
2920,25,4,21
2930,25,4,21
2940,25,4,21
2950,25,4,21
2960,25,4,21
2970,25,4,21
2980,25,4,21
2990,25,4,21
3000,25,4,21
3010,25,4,21
3020,25,4,21
3030,25,4,21
3040,25,4,21
3050,25,4,21
3060,25,4,21
3070,25,4,21
3080,25,4,21
3090,25,4,21
3100,25,4,21
3110,25,4,21
3120,25,4,21
3130,25,4,22
3140,25,4,22
3150,25,4,22
3160,25,4,22
3170,25,4,22
3180,25,4,22
3190,25,4,22
3200,25,4,22
3210,25,4,22
3220,25,4,22
3230,25,4,22
3240,25,4,22
3250,25,4,22
3260,25,4,22
3270,25,4,22
3280,25,4,22
3290,25,4,22
3300,28,4,22
3310,28,4,22
3320,28,4,22
3330,28,4,22
3340,28,4,22
3350,28,4,22
3360,28,4,21
3370,28,4,21
3380,28,4,21
3390,28,4,21
3400,28,4,21
3410,28,4,21
3420,28,4,21
3430,28,4,21
3440,28,4,21
3450,28,4,21
3460,28,4,21
3470,28,4,21
3480,28,4,20
3490,28,4,20
3500,28,6,20
3510,28,6,20
3520,28,6,20
3530,28,6,20
3540,28,6,20
3550,28,6,20
3560,28,6,20
3570,28,6,20
3580,28,6,20
3590,28,6,20
3600,28,6,20
3610,25,6,25
3620,25,6,26
3630,25,6,26
3640,25,6,26
3650,25,6,26
3660,25,6,26
3670,25,6,26
3680,25,6,26
3690,25,6,26
3700,25,6,26
3710,25,6,26
3720,29,6,26
3730,29,6,26
3740,29,6,26
3750,29,6,26
3760,29,6,26
3770,29,6,26
3780,29,6,26
3790,29,6,26
3800,29,6,26
3810,29,6,26
3820,29,6,26
3830,29,6,26
3840,29,6,26
3850,29,6,26
3860,29,6,26
3870,29,6,26
3880,29,6,26
3890,29,6,26
3900,29,6,26
3910,29,6,26
3920,29,6,22
3930,29,6,22
3940,29,6,22
3950,29,6,22
3960,29,6,22
3970,29,6,22
3980,29,6,21
3990,29,6,21
4000,29,6,21
4010,29,6,21
4020,29,6,21
4030,29,6,21
4040,29,6,21
4050,29,6,21
4060,29,6,21
4070,29,6,21
4080,29,6,21
4090,29,6,21
4100,29,6,21
4110,29,6,21
4120,29,6,21
4130,29,6,21
4140,29,6,21
4150,29,6,21
4160,29,6,21
4170,29,6,21
4180,29,6,21
4190,29,6,21
4200,29,6,21
4210,29,6,21
4220,29,6,21
4230,29,6,21
4240,29,6,21
4250,29,6,21
4260,29,6,21
4270,29,6,21
4280,29,6,21
4290,26,6,21
4300,26,6,21
4310,26,6,21
4320,26,6,21
4330,26,6,21
4340,26,6,20
4350,26,6,20
4360,26,6,20
4370,26,6,20
4380,26,6,20
4390,26,6,20
4400,26,6,19
4410,26,6,19
4420,26,6,19
4430,26,6,19
4440,26,6,19
4450,26,6,19
4460,26,6,19
4470,26,6,19
4480,26,6,19
4490,26,6,19
4500,26,6,19
4510,26,6,19
4520,26,6,19
4530,26,6,19
4540,26,6,19
4550,26,6,19
4560,26,6,19
4570,26,6,19
4580,26,6,19
4590,26,6,19
4600,26,6,19
4610,26,6,19
4620,26,6,19
4630,26,6,19
4640,26,6,20
4650,23,6,20
4660,23,6,20
4670,23,6,21
4680,23,6,21
4690,23,6,21
4700,23,6,21
4710,25,6,18
4720,25,6,18
4730,25,6,18
4740,25,6,18
4750,25,6,18
4760,25,6,18
4770,25,6,18
4780,25,6,18
4790,25,6,18
4800,25,6,18
4810,25,6,18
4820,25,6,18
4830,25,6,18
4840,25,6,18
4850,25,6,18
4860,25,6,18
4870,25,6,25
4880,25,6,25
4890,25,6,25
4900,25,6,25
4910,25,6,25
4920,25,6,25
4930,25,6,26
4940,25,6,26
4950,25,6,26
4960,25,6,26
4970,25,6,26
4980,25,6,26
4990,25,6,26
5000,25,6,26
5010,25,6,26
5020,25,6,26
5030,29,6,26
5040,29,6,26
5050,29,6,26
5060,29,6,26
5070,29,6,26
5080,29,6,26
5090,29,6,26
5100,29,6,26
5110,29,6,26
5120,29,6,26
5130,29,6,26
5140,29,6,26
5150,29,6,26
5160,29,6,26
5170,29,6,26
5180,29,2,26
5190,29,2,26
5200,29,2,26
5210,29,2,26
5220,29,2,26
5230,29,2,22
5240,29,2,22
5250,29,2,22
5260,29,2,22
5270,29,2,22
5280,29,2,22
5290,29,2,21
5300,29,2,21
5310,29,2,21
5320,29,2,21
5330,29,2,21
5340,29,2,21
5350,29,2,21
5360,29,2,21
5370,29,2,21
5380,29,2,21
5390,29,2,21
5400,29,2,21
5410,29,2,21
5420,29,2,21
5430,29,2,21
5440,29,2,21
5450,29,2,21
5460,29,2,21
5470,29,2,21
5480,29,2,21
5490,29,2,21
5500,29,2,21
5510,29,2,21
5520,29,2,21
5530,29,2,21
5540,29,2,21
5550,29,2,21
5560,29,2,21
5570,29,2,21
5580,29,2,21
5590,29,2,21
5600,26,2,21
5610,26,2,21
5620,26,2,21
5630,26,2,21
5640,26,2,21
5650,26,2,20
5660,26,2,20
5670,26,2,20
5680,26,2,20
5690,26,2,20
5700,26,2,20
5710,26,2,19
5720,26,2,19
5730,26,2,19
5740,26,2,19
5750,26,2,19
5760,26,2,19
5770,26,2,19
5780,26,2,19
5790,26,2,19
5800,26,2,19
5810,26,2,19
5820,26,2,19
5830,26,2,19
5840,26,2,19
5850,26,2,19
5860,26,2,19
5870,26,2,19
5880,26,2,19
5890,26,2,19
5900,26,2,19
5910,26,2,19
5920,26,2,19
5930,26,2,19
5940,26,2,19
5950,26,2,20
5960,23,4,20
5970,23,4,20
5980,23,4,21
5990,23,4,21
6000,23,4,21
6010,23,4,21
6020,23,4,21
6030,23,4,21
6040,23,4,21
6050,23,4,21
6060,23,4,21
6070,23,4,20
6080,23,4,20
6090,23,4,20
6100,23,4,20
6110,23,4,20
6120,23,4,20
6130,23,4,20
6140,23,4,20
6150,23,4,20
6160,23,4,20
6170,23,4,20
6180,23,4,20
6190,23,4,20
6200,23,4,20
6210,23,4,20
6220,23,4,20
6230,23,4,20
