time,A,B,C
1,26,40,16
2,24,40,14
3,22,40,12
4,21,40,11
5,20,40,10
6,19,40,9
7,18,40,8
8,18,40,8
9,19,40,9
10,19,40,9
11,20,40,10
12,23,40,13
13,25,40,15
14,28,50,18
15,32,50,22
16,35,50,25
17,37,50,27
18,41,50,31
19,43,50,33
20,47,50,37
21,50,50,40
22,54,50,44
23,57,50,47
24,59,50,49
25,61,50,51
26,63,50,53
27,65,50,55
28,69,60,59
29,71,60,61
30,73,60,63
31,75,60,65
32,76,60,66
33,78,60,68
34,78,60,68
35,76,60,66
36,74,60,64
37,75,60,65
38,77,60,67
39,78,60,68
40,78,60,68
41,75,60,65
42,71,40,61
43,67,40,57
44,61,40,51
45,58,40,48
46,53,40,43
47,51,40,41
48,47,40,37
49,43,40,33
50,38,50,28
51,34,50,24
52,31,50,21
53,28,50,18
54,24,50,14
55,23,50,13
56,21,50,11
57,19,50,9
58,19,50,9
59,18,50,8
